pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
3,5,4,1,2,0,4,0,3,0,6,5,1,1,0,1,0,0,0,0,left,1,5.096048299999893,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
5,0,4,3,1,2,4,6,3,5,0,6,1,0,0,1,0,1,1,1,left,1,4.603717400001187,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
2,5,1,3,4,0,4,0,0,5,3,5,1,1,0,1,0,2,2,2,left,1,3.0311509999992268,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
3,1,4,0,5,2,4,0,3,5,5,6,1,1,1,1,0,3,3,3,up,1,2.3567493999998987,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
3,1,2,0,5,4,4,0,6,3,5,5,1,1,0,1,0,4,4,4,left,1,1.962353199998688,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
4,1,3,5,2,0,4,3,3,0,6,5,1,0,0,1,0,5,5,5,left,1,2.3575904999997874,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
2,3,4,1,0,5,4,6,3,0,5,0,0,0,1,1,0,6,6,6,up,1,1.7204171000012138,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
4,1,3,2,0,5,4,3,6,6,0,5,1,0,0,1,0,7,7,7,left,1,1.7478922999998758,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
0,1,2,3,4,5,4,0,5,3,6,6,1,1,0,1,0,8,8,8,left,1,1.4561381000003166,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
4,3,2,0,5,1,4,0,0,6,3,6,1,1,0,1,0,9,9,9,left,1,1.319342400000096,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
2,5,0,3,4,1,4,0,6,0,3,3,1,1,0,1,0,10,10,10,left,1,2.8228720999995858,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
1,5,0,2,3,4,4,3,5,3,6,5,1,0,0,1,0,11,11,11,left,1,1.3710949999986042,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
1,5,4,0,2,3,4,6,3,3,5,6,1,0,0,1,0,12,12,12,left,1,2.2157837000013387,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
5,2,1,4,0,3,4,3,5,0,5,3,1,1,0,1,0,13,13,13,left,1,1.1386595999993006,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
0,3,1,4,2,5,4,3,6,0,5,5,0,0,1,1,0,14,14,14,up,1,1.2084037000004173,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
0,3,1,2,5,4,4,3,5,0,6,5,1,0,1,1,0,15,15,15,up,1,1.64771600000131,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
3,4,5,0,2,1,4,3,0,3,5,5,1,1,1,1,0,16,16,16,up,1,1.564747800000987,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
0,2,3,5,4,1,4,6,3,0,5,5,1,1,1,1,0,17,17,17,up,1,1.99464799999987,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
1,4,3,2,5,0,4,0,0,3,6,6,1,1,1,1,0,18,18,18,up,1,1.2085143999993306,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
0,3,5,2,4,1,4,0,3,6,3,5,1,1,0,1,0,19,19,19,left,1,1.8187768999996479,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
5,1,2,3,4,0,4,3,6,5,5,0,1,1,1,1,0,20,20,20,up,1,1.3345224999993661,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
4,1,5,0,2,3,4,5,6,5,6,0,1,0,1,1,0,21,21,21,up,1,1.7240785000012693,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
1,4,5,0,2,3,4,3,3,0,5,6,1,0,0,1,0,22,22,22,left,1,2.001465700001063,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
0,2,1,4,5,3,4,3,0,3,0,5,1,0,0,1,0,23,23,23,left,1,1.3648511999999755,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
5,4,3,2,1,0,4,6,0,6,5,0,1,0,0,1,0,24,24,24,left,1,0.9183038999999553,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
5,4,0,2,3,1,4,3,0,5,3,6,1,1,0,1,0,25,25,25,left,1,1.3313975999990362,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
4,2,0,1,3,5,4,3,5,5,0,3,1,0,1,1,0,26,26,26,up,1,2.323346400000446,None,,,,pil_002,001,0.9,1.0,2023-03-22_14h39.54.521,stress,2023.1.0,60.08903993905168,
