pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
4,5,2,3,1,0,4,0,0,6,5,3,0,0,1,1,0,0,0,0,up,1,1.0201969999980065,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
4,3,0,1,2,5,4,6,6,3,0,5,1,1,0,1,0,1,1,1,left,1,0.6019255999999586,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
4,2,0,3,1,5,4,5,3,0,0,3,1,1,0,1,0,2,2,2,left,1,0.49556329999904847,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
5,3,4,0,1,2,4,6,3,5,3,0,1,1,0,1,0,3,3,3,left,1,0.7070276000013109,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
2,0,4,3,1,5,4,0,3,5,5,6,0,1,1,1,0,4,4,4,up,1,1.5067546000027505,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
1,3,0,5,4,2,4,6,0,3,3,5,0,0,0,1,0,5,5,5,left,1,1.438298200002464,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
0,1,2,4,3,5,4,5,3,6,5,0,1,0,1,1,0,6,6,6,up,1,0.9154113000004145,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
2,5,1,4,0,3,4,5,6,0,0,5,0,0,0,1,0,7,7,7,left,1,1.6262457999982871,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
1,5,0,3,4,2,4,0,5,6,3,6,1,1,1,1,0,8,8,8,up,1,1.3927260999989812,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
3,2,0,4,5,1,4,3,5,3,5,0,0,1,1,1,0,9,9,9,up,1,0.8085280000013881,None,,,,pil_004,002,0.5,1.0,2023-03-24_17h41.39.881,stress,2023.1.0,60.09236196099581,
