pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
2,1,5,4,3,0,4,0,5,3,0,5,1,1,0,1,0,0,0,0,left,1,1.096122999999352,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
5,0,1,2,4,3,4,5,6,0,3,3,1,1,0,1,0,1,1,1,left,1,1.2889636999998402,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
0,1,2,4,3,5,4,6,6,3,5,0,1,1,0,1,0,2,2,2,left,1,0.8518494999998438,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
4,3,5,1,2,0,4,6,3,5,6,5,0,1,0,1,0,3,3,3,left,1,1.8152772999992521,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
2,1,3,5,4,0,4,5,6,0,6,0,1,0,0,1,0,4,4,4,left,1,0.8080644000001485,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
0,1,3,4,2,5,4,3,0,6,0,5,1,0,0,1,0,5,5,5,left,1,1.464890999999625,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
2,4,0,3,1,5,4,6,5,3,0,0,1,0,0,1,0,6,6,6,left,1,0.6090494999998555,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
5,0,1,2,4,3,4,6,3,5,6,0,0,0,0,1,0,7,7,7,left,1,1.3369837000000189,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
5,2,0,1,4,3,4,6,5,0,3,3,1,0,1,1,0,8,8,8,up,1,1.3288107000007585,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
2,5,4,0,1,3,4,6,5,0,3,6,1,1,1,1,0,9,9,9,up,1,0.7087120000005598,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
3,5,4,0,2,1,4,0,5,0,5,6,1,1,1,1,0,10,10,10,up,1,0.9556642999996257,None,,,,pil_003,002,0.9,1.0,2023-03-23_13h05.35.733,stress,2023.1.0,59.995704307710646,
