pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
4,5,3,0,2,1,4,5,3,0,6,5,1,0,1,1,0,28,28,28,up,1,1.6691510999989987,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,0,2,1,3,5,4,3,6,5,5,0,1,0,1,1,0,29,29,29,up,1,1.4796764999991865,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
0,2,1,5,4,3,4,0,6,3,3,5,1,0,1,1,0,30,30,30,up,1,1.0155087999992247,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,5,3,4,1,0,4,5,6,3,5,3,1,0,1,1,0,31,31,31,up,1,1.1612324999987322,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,5,0,4,1,2,4,6,0,0,3,3,1,1,0,1,0,32,32,32,left,1,0.7744744000010542,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
0,1,2,3,4,5,4,5,3,0,6,6,1,1,0,1,0,33,33,33,left,1,1.1952695999971183,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,5,3,4,1,0,4,3,5,0,3,6,1,0,1,1,0,34,34,34,up,1,1.7150442999991355,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
0,1,3,5,4,2,4,5,5,6,0,3,1,1,0,1,0,35,35,35,left,1,1.3327678999994532,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,3,5,0,1,4,4,0,3,6,0,5,0,1,1,1,0,36,36,36,up,1,0.6972305000017514,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,2,3,5,0,1,4,3,3,6,0,0,1,1,1,1,0,37,37,37,up,1,0.9249419000007038,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
0,1,2,4,5,3,4,5,0,5,3,6,1,1,1,1,0,38,38,38,up,1,0.9626305000019784,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,4,1,3,5,0,4,5,3,3,5,0,1,0,0,1,0,39,39,39,up,0,0.8673003000003519,space,39.72576399999889,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,2,0,1,3,5,4,3,6,3,5,6,1,0,1,1,0,40,40,40,up,1,1.0405957000002672,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,0,5,2,1,4,4,6,3,5,3,5,1,0,0,1,0,41,41,41,left,1,1.1662156999991566,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,4,0,1,5,2,4,6,3,5,3,5,1,1,0,1,0,42,42,42,left,1,0.7178126000035263,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,5,4,0,3,1,4,6,0,3,3,6,1,1,1,1,0,43,43,43,up,1,0.9680583999979717,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
1,5,3,2,0,4,4,5,3,5,6,0,1,0,1,1,0,44,44,44,up,1,1.7497836999973515,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,3,1,4,0,2,4,3,6,5,6,0,1,0,0,1,0,45,45,45,left,1,2.417842099999689,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,4,1,0,3,2,4,0,3,3,6,5,1,1,0,1,0,46,46,46,left,1,0.8190359000000171,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,5,3,1,4,0,4,5,0,6,0,3,1,0,1,1,0,47,47,47,up,1,1.4618493000016315,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,1,4,0,2,5,4,0,5,3,6,5,0,1,1,1,0,48,48,48,up,1,1.610965900003066,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,2,4,0,1,3,4,0,5,6,6,3,1,0,0,1,0,49,49,49,left,1,1.163216500000999,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,2,5,3,1,0,4,0,6,5,3,5,1,1,1,1,0,50,50,50,up,1,1.6404895000014221,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,2,3,1,0,4,4,6,3,6,0,3,1,1,1,1,0,51,51,51,up,1,0.9799203000002308,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
1,0,5,4,3,2,4,3,6,3,6,5,1,0,0,1,0,52,52,52,left,1,1.1124333000007027,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,4,2,5,0,1,4,5,6,0,3,3,1,0,1,1,0,53,53,53,up,1,1.9460466999989876,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,3,1,4,0,2,4,3,3,5,0,6,1,1,0,1,0,54,54,54,left,1,1.3727304999993066,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
1,3,4,0,5,2,4,3,6,5,6,3,1,1,1,1,0,55,55,55,up,1,1.9552444000000833,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
1,4,3,0,2,5,4,5,0,3,0,6,1,1,0,1,0,56,56,56,left,1,1.0455901000023005,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,1,5,2,4,0,4,5,5,0,3,0,1,0,1,1,0,57,57,57,up,1,2.1338051999991876,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,2,5,1,0,3,4,3,5,6,3,5,1,1,0,1,0,58,58,58,left,1,0.9908391000026313,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
