pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
1,2,4,0,3,5,4,5,3,0,6,3,1,0,0,1,0,0,0,0,left,1,1.4173117999998794,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
3,4,2,1,5,0,4,6,5,3,6,0,1,0,1,1,0,1,1,1,up,1,1.289933000000019,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
0,1,4,2,5,3,4,0,3,6,5,0,1,0,1,1,0,2,2,2,up,1,0.6861803000001601,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
3,0,1,2,5,4,4,3,5,0,5,6,0,1,0,1,0,3,3,3,left,1,0.6584637999994811,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,2,1,3,5,0,4,3,5,5,6,6,1,0,0,1,0,4,4,4,left,1,0.9773312000006626,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,5,3,0,1,4,4,3,3,0,6,6,1,1,1,1,0,5,5,5,up,1,0.7525313999994978,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,2,0,4,1,3,4,5,3,0,5,0,1,0,0,1,0,6,6,6,left,1,0.9374477000001207,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,4,1,3,5,0,4,5,3,0,3,6,1,1,0,1,0,7,7,7,up,0,0.7827515999997559,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
0,2,1,4,3,5,4,3,6,0,5,0,1,0,0,1,0,8,8,8,left,1,2.197283499999685,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,3,5,1,2,0,4,0,3,5,3,6,0,0,0,1,0,9,9,9,left,1,0.9118587000002663,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,0,1,2,5,3,4,5,3,5,3,0,0,1,1,1,0,10,10,10,up,1,0.5232569999998304,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,1,3,5,0,2,4,5,3,0,6,5,1,0,0,1,0,11,11,11,left,1,0.7424614999999903,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,3,4,0,5,1,4,6,5,5,3,0,0,1,1,1,0,12,12,12,up,1,0.6788131999992402,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,5,0,1,4,3,4,6,5,3,0,0,1,0,0,1,0,13,13,13,left,1,0.5867643999999927,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
3,0,4,5,2,1,4,6,0,0,5,6,1,0,1,1,0,14,14,14,left,0,0.7982988000003388,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,4,5,3,1,0,4,5,0,3,6,0,0,1,0,1,0,15,15,15,left,1,0.8009044000000358,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
3,2,5,0,4,1,4,3,0,5,5,6,1,1,1,1,0,16,16,16,up,1,0.6037261000001308,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,1,0,2,3,4,4,3,5,5,3,6,1,1,1,1,0,17,17,17,up,1,1.2319654999992053,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,5,3,2,0,1,4,5,5,3,6,3,1,1,1,1,0,18,18,18,up,1,0.7637237999997524,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
0,5,4,1,3,2,4,6,3,6,5,5,1,1,0,1,0,19,19,19,left,1,1.233284800000547,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
1,0,3,5,4,2,4,6,3,6,0,5,1,0,0,1,0,20,20,20,left,1,1.126941700000316,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,1,0,3,2,4,4,6,6,5,5,3,1,1,0,1,0,21,21,21,left,1,0.944082800000615,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,0,4,3,5,1,4,3,5,5,6,6,1,0,1,1,0,22,22,22,up,1,0.9340699000003951,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,0,3,5,1,4,4,0,5,6,0,3,1,0,1,1,0,23,23,23,up,1,0.6931444000001648,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,0,2,5,1,3,4,0,6,3,3,6,0,0,1,1,0,24,24,24,up,1,0.7001209000000017,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
1,4,3,5,2,0,4,0,3,5,0,5,1,0,1,1,0,25,25,25,up,1,0.8713046000002578,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,4,1,5,0,3,4,3,6,5,5,6,0,0,0,1,0,26,26,26,left,1,0.6529645999999047,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
0,3,1,4,5,2,4,5,3,6,0,6,1,1,0,1,0,27,27,27,left,1,1.3040944999993371,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,1,4,3,5,0,4,0,6,5,6,3,1,0,0,1,0,28,28,28,left,1,0.6312299999999595,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
1,2,4,3,0,5,4,5,6,5,3,6,1,0,0,1,0,29,29,29,left,1,1.0283675999999105,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
0,4,5,2,3,1,4,0,6,5,3,0,1,1,0,1,0,30,30,30,left,1,0.8532901999997193,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,0,4,5,3,1,4,6,5,0,0,3,1,0,0,1,0,31,31,31,left,1,0.5812244999997347,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,1,0,3,2,4,4,6,5,0,0,6,1,0,1,1,0,32,32,32,up,1,0.9957791000006182,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,3,4,0,2,1,4,0,5,5,6,6,1,0,0,1,0,33,33,33,left,1,0.7277614000004178,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
0,1,3,5,2,4,4,6,3,5,6,3,1,0,1,1,0,34,34,34,up,1,0.5700018999996246,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,3,2,4,1,0,4,6,6,0,5,5,1,0,0,1,0,35,35,35,left,1,1.325218599999971,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
5,2,1,0,4,3,4,6,0,3,5,3,1,1,1,1,0,36,36,36,up,1,1.8423476999996637,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
1,0,3,5,2,4,4,0,5,3,6,6,1,0,0,1,0,37,37,37,left,1,1.2887874999996711,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
4,1,3,0,2,5,4,5,0,3,0,5,1,1,0,1,0,38,38,38,left,1,0.6708502000001317,None,,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
2,5,3,1,0,4,4,6,0,5,5,6,1,0,1,1,0,39,39,39,up,1,0.6609058000003643,space,2.8638377000006585,,,pil_001,002,0.9,1.0,2023-03-22_12h52.27.619,stress,2023.1.0,59.883502633903866,
