pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
5,4,2,3,1,0,4,5,3,0,0,6,0,0,1,1,0,0,0,0,up,1,1.1573018999997657,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
5,0,3,1,4,2,4,6,5,0,5,0,1,1,1,1,0,1,1,1,up,1,0.9932819000000563,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
5,4,1,0,3,2,4,6,0,5,3,6,0,1,1,1,0,2,2,2,up,1,0.7271092999999382,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
3,1,5,0,2,4,4,0,0,6,6,3,0,1,0,1,0,3,3,3,left,1,0.7820090000000164,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
3,2,5,1,4,0,4,3,0,6,0,5,1,1,0,1,0,4,4,4,left,1,0.6911917000002177,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
3,4,5,0,1,2,4,3,0,6,5,3,1,0,1,1,0,5,5,5,up,1,0.6783900000000358,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
2,4,5,3,1,0,4,6,6,0,3,5,1,0,0,1,0,6,6,6,left,1,0.721101400000407,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
1,2,3,0,4,5,4,5,0,5,6,3,1,1,1,1,0,7,7,7,up,1,1.048092799999722,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
4,1,2,0,3,5,4,0,6,0,6,5,0,1,0,1,0,8,8,8,left,1,0.7515064999997776,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
5,1,0,2,4,3,4,6,0,6,3,3,1,0,0,1,0,9,9,9,left,1,0.9344630999999026,None,,,,pil_001,001,0.5,1.0,2023-03-22_11h50.44.873,stress,2023.1.0,60.019974647632395,
