pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
2,3,5,1,0,4,4,0,5,0,5,6,1,1,0,1,0,0,0,0,left,1,2.9322086000001946,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
0,1,3,2,4,5,4,5,0,3,6,3,1,1,0,1,0,1,1,1,left,1,2.1466361000002507,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
1,0,3,4,5,2,4,3,6,5,5,0,1,0,0,1,0,2,2,2,left,1,1.3529539999999542,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
1,4,2,5,3,0,4,3,0,6,5,3,1,0,0,1,0,3,3,3,left,1,0.9267517000007501,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
4,0,2,3,5,1,4,0,6,6,5,3,0,1,0,1,0,4,4,4,left,1,2.5045650000001842,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
1,0,3,5,4,2,4,3,5,6,0,6,0,1,0,1,0,5,5,5,left,1,0.8941796999997678,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
2,1,5,4,0,3,4,6,0,5,3,0,0,1,1,1,0,6,6,6,up,1,1.4804536999999982,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
5,0,3,1,2,4,4,0,6,6,5,3,1,1,1,1,0,7,7,7,up,1,1.5124392999996417,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
3,4,2,5,0,1,4,6,0,6,0,3,1,0,1,1,0,8,8,8,up,1,1.543084899999485,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
5,4,0,1,3,2,4,5,3,0,3,6,0,0,1,1,0,9,9,9,up,1,2.257183600000644,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
1,0,2,4,3,5,4,3,0,0,5,6,0,1,0,1,0,10,10,10,left,1,1.1704964999998992,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
3,1,2,5,4,0,4,5,0,3,3,6,1,1,0,1,0,11,11,11,left,1,1.4723012999993443,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
3,2,5,0,4,1,4,3,3,6,5,5,1,1,0,1,0,12,12,12,left,1,1.6243101999998544,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
0,2,5,1,3,4,4,5,3,6,6,0,1,0,1,1,0,13,13,13,up,1,2.0914247000000614,None,,,,pil_003,001,0.5,1.0,2023-03-23_12h17.41.877,stress,2023.1.0,59.96857646565681,
