target_pos,distractor_pos,distractor_shape1,distractor_shape2,distractor_shape3,distractor_shape4,distractor_shape5,singleton,target_color,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.started,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,date,expName,psychopyVersion,frameRate,
1,2,5,3,5,5,3,1,1,1,0,0,0,0,9.672658334020525,right,1,2.281768124899827,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,3,6,3,6,5,1,0,1,0,1,1,1,13.891865166951902,left,0,1.2625679170014337,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,6,0,3,0,0,1,1,0,0,2,2,2,17.502466999925673,left,1,0.8570819579763338,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,6,0,3,6,0,1,1,0,3,3,3,20.251755459001288,right,1,0.5813934169709682,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,5,5,5,6,0,0,1,0,4,4,4,23.02284920902457,right,1,0.6986073330044746,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,6,6,0,3,0,1,0,1,0,5,5,5,25.972986791981384,right,1,1.6454621669836342,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,3,6,6,3,6,1,1,0,0,6,6,6,29.836062834016047,left,1,0.9015567910391837,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,0,5,5,5,3,1,1,0,0,7,7,7,32.64395674993284,left,1,0.8866442090366036,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,0,0,3,0,0,0,0,1,0,8,8,8,35.594123958959244,right,1,0.6618883750634268,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,0,3,0,6,5,1,0,0,0,9,9,9,38.2544344170019,left,1,0.5990618750220165,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,6,5,0,5,6,1,1,0,0,10,10,10,41.16975374997128,left,1,0.7007039160234854,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,3,3,3,6,5,0,0,0,0,11,11,11,44.15934612497222,left,1,0.8646857499843463,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,3,5,0,3,3,0,1,1,0,12,12,12,46.93537004198879,right,1,0.8230731250951067,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,5,5,5,0,6,1,0,1,0,13,13,13,49.73183662502561,right,1,0.7824390419991687,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,6,6,3,6,0,1,0,1,0,14,14,14,52.74125249998178,right,1,0.6666773749748245,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
