target_pos,distractor_pos,distractor_shape1,distractor_shape2,distractor_shape3,distractor_shape4,distractor_shape5,singleton,target_color,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.started,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,date,expName,psychopyVersion,frameRate,
4,2,5,0,0,6,5,1,1,0,0,15,15,15,55.67118304199539,left,1,1.145638957968913,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,0,6,0,5,0,1,0,0,0,16,16,16,58.84498179203365,left,1,0.7146580830449238,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,0,3,5,0,5,0,1,1,0,17,17,17,61.68390979198739,right,1,0.7012529580388218,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,5,3,3,5,1,1,1,0,18,18,18,64.44380424998235,right,1,0.794249041005969,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,5,5,6,0,3,0,0,0,0,19,19,19,67.21119929198176,left,1,0.7339072080794722,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,5,5,5,6,5,0,0,1,0,20,20,20,70.01468341692816,right,1,0.5844114159699529,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,6,6,6,6,6,1,0,1,0,21,21,21,72.74345662503038,right,1,0.5795617500552908,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,5,0,6,0,0,1,1,0,22,22,22,75.56020037492272,right,1,0.644867583992891,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,3,0,0,3,6,0,1,1,0,23,23,23,78.48427112493664,right,1,0.693472292041406,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,5,6,3,6,0,0,1,0,0,24,24,24,81.46979816700332,left,1,0.6763960000826046,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,0,6,3,6,6,1,1,0,0,25,25,25,84.29186579200905,left,1,1.5754009160446003,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,0,3,3,3,0,0,1,0,0,26,26,26,88.00420579197817,left,1,0.5126502499915659,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,0,5,0,5,0,1,1,1,0,27,27,27,90.7588908339385,right,1,0.6651057089911774,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,0,3,3,3,0,1,0,0,0,28,28,28,93.34583912498783,left,1,0.7622337909415364,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,0,5,3,5,0,0,1,0,29,29,29,96.33305645897053,right,1,1.076846459065564,space,7.286137624992989,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,6,3,0,3,1,1,1,0,30,30,30,105.57036779192276,right,1,0.745804916950874,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,5,3,6,3,0,0,0,0,0,31,31,31,108.40334324992727,left,1,0.9492789579089731,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,0,5,0,0,6,0,0,1,0,32,32,32,111.64277874992695,right,1,0.7866987079614773,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,0,0,5,3,0,1,0,1,0,33,33,33,114.48516137502156,right,1,0.567553750006482,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,3,5,6,0,0,1,1,0,0,34,34,34,117.08586550003383,left,1,0.6867934580659494,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,5,3,3,6,5,1,1,0,0,35,35,35,119.7606954589719,left,1,0.7077830419875681,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,6,3,0,0,0,0,1,0,0,36,36,36,122.75550762494095,left,1,0.3909180839546025,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,6,0,5,0,3,0,0,1,0,37,37,37,125.2711223749211,right,1,0.5505848749307916,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,6,6,0,6,5,0,1,1,0,38,38,38,127.7098245419329,right,1,0.5298760420409963,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,6,5,3,6,6,0,0,0,0,39,39,39,130.3392435000278,left,1,0.5319754580268636,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,0,6,5,6,1,0,1,0,40,40,40,133.00536966696382,right,1,0.4876839170465246,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,5,3,3,5,0,0,0,1,0,41,41,41,135.5885549589293,right,1,0.5206639589741826,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,3,6,3,5,0,0,1,0,0,42,42,42,138.08744254196063,left,1,0.5259923749836162,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,5,6,3,6,6,1,0,1,0,43,43,43,140.84022229199763,right,1,0.6583139159483835,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,5,6,6,0,0,0,0,0,44,44,44,143.61465737503022,left,1,1.0281790000153705,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,6,5,6,5,5,1,0,0,0,45,45,45,146.93358895892743,left,1,0.8056172910146415,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,5,5,0,3,1,0,0,0,46,46,46,149.8679894169327,left,1,0.9019415829097852,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,5,0,6,0,3,1,0,1,0,47,47,47,152.90760874992702,right,1,1.0177845830330625,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,5,6,0,5,0,0,1,0,0,48,48,48,155.8422210420249,left,1,0.8160586250014603,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,6,3,6,6,3,1,0,0,0,49,49,49,158.81690095900558,left,1,0.9376098749926314,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,6,5,6,0,1,0,0,0,50,50,50,161.61362933402415,left,1,0.6890799170359969,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,5,5,5,3,1,1,0,0,51,51,51,164.56701183400583,left,1,0.8809549580328166,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,6,0,6,5,5,1,1,1,0,52,52,52,167.73433137498796,right,1,0.8265995419351384,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,3,5,0,0,3,0,0,0,0,53,53,53,170.5485098749632,left,1,0.6169284580973908,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,3,3,3,6,6,1,1,0,0,54,54,54,173.04497508401982,left,1,0.6340177089441568,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,0,0,3,3,0,1,1,0,55,55,55,175.71727458399255,right,1,0.43129962496459484,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,5,3,6,5,3,1,1,1,0,56,56,56,178.0936310000252,right,1,0.5829436250496656,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,0,3,0,3,5,0,1,0,0,57,57,57,181.00388520897832,left,1,0.6173982500331476,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,3,6,3,3,3,0,1,0,0,58,58,58,183.55487574997824,left,1,0.7341000420274213,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,0,5,6,5,0,0,1,0,59,59,59,186.5740030419547,right,1,0.6130744160618633,space,2.6180082079954445,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,5,3,3,6,1,1,1,0,60,60,60,190.6734694589395,right,1,0.8439576249802485,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,0,3,3,6,5,0,1,1,0,61,61,61,193.68560166691896,right,1,0.6660737920319661,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,3,3,0,6,3,0,0,0,0,62,62,62,196.22059533395804,left,1,0.677758542005904,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,5,0,6,5,3,0,0,0,0,63,63,63,198.7833465419244,left,1,1.1215953329810873,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,6,6,5,3,3,0,0,1,0,64,64,64,201.7709380419692,right,1,0.7521110409870744,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,6,3,0,6,3,1,1,1,0,65,65,65,204.6724490839988,right,1,0.5486262920312583,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,6,3,0,5,5,1,1,1,0,66,66,66,207.2058744999813,right,1,0.5185356249567121,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,5,3,3,0,0,0,1,0,67,67,67,209.6016845839331,right,1,0.6885528749553487,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,6,3,3,0,5,1,0,0,0,68,68,68,212.19384824996814,left,1,0.717491582967341,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,6,5,6,5,3,1,1,0,0,69,69,69,214.982089624973,left,1,0.6944448330905288,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,5,0,3,6,0,1,0,0,70,70,70,217.7460920419544,left,1,0.9565268750302494,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,6,0,3,6,6,1,1,1,0,71,71,71,220.62572712497786,right,1,0.44396258401684463,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,0,5,6,0,0,1,1,0,72,72,72,223.00880924996454,right,1,0.4774352499516681,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,0,6,0,3,3,0,0,1,0,73,73,73,225.60201895900536,right,1,0.6783232500310987,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,0,3,0,3,6,1,0,0,0,74,74,74,228.22317841695622,left,1,0.5463063330389559,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,3,0,0,5,6,1,1,0,0,75,75,75,230.9063905000221,left,1,0.5473772500408813,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,3,5,6,5,5,1,1,0,0,76,76,76,233.71071383391973,left,1,0.5155506669543684,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,0,6,6,3,6,1,0,1,0,77,77,77,236.4172574999975,right,1,0.5479685419704765,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,0,0,5,6,6,1,1,0,0,78,78,78,239.25467204197776,left,1,0.4230172500247136,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,0,5,6,0,6,1,0,0,0,79,79,79,241.92896658403333,left,1,0.4917099999729544,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,0,5,0,3,3,0,1,0,0,80,80,80,244.4320625839755,left,1,0.8178728329949081,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,0,5,6,6,1,1,1,0,81,81,81,247.2644776669331,right,1,0.518151041935198,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,0,6,3,6,6,0,0,1,0,82,82,82,249.82715316698886,right,1,0.4704617909155786,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,0,6,3,3,3,1,0,0,0,83,83,83,252.3260799589334,left,1,0.5824738329974934,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,0,6,6,6,5,0,0,0,0,84,84,84,255.18393341696355,left,1,0.9941791670862585,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,3,0,6,5,5,0,0,0,0,85,85,85,258.4170370840002,left,1,0.4641296670306474,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,3,0,3,0,3,0,0,0,0,86,86,86,260.9360740840202,left,1,0.6869634999893606,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,0,0,0,3,0,0,0,0,87,87,87,263.92019141698256,left,1,0.7322131670080125,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,5,5,3,0,3,0,1,1,0,88,88,88,266.7460787500022,right,1,0.8546647079056129,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,3,5,0,3,3,0,1,0,0,89,89,89,269.6844271669397,left,1,0.793345500016585,space,4.171386624919251,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,3,5,5,3,3,1,1,0,0,90,90,90,275.5095593750011,left,1,0.8035357909975573,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,5,0,0,0,6,1,0,1,0,91,91,91,278.54272533394396,right,1,0.7034696670016274,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,5,0,5,6,0,1,0,1,0,92,92,92,281.17731729196385,right,1,0.6435558749362826,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,3,0,5,5,6,0,0,1,0,93,93,93,283.89381112495903,right,1,0.7548038749955595,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,5,3,0,6,5,1,0,1,0,94,94,94,286.55394516699016,right,1,0.7318548749899492,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,5,6,6,3,6,0,1,1,0,95,95,95,289.1479655839503,right,1,0.8520828750915825,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,6,0,3,6,5,1,0,0,0,96,96,96,292.0615527499467,left,1,0.733814875013195,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,5,3,3,3,5,0,0,1,0,97,97,97,294.77976279193535,right,1,0.534544917056337,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,3,0,3,0,5,0,1,1,0,98,98,98,297.5825893749716,right,1,0.7049919170094654,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,3,0,0,6,3,0,0,1,0,99,99,99,300.1780340420082,right,1,0.5107923750765622,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,5,3,0,3,5,1,1,0,0,100,100,100,302.7375997919589,left,1,0.693136291927658,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,0,6,6,0,3,0,0,1,0,101,101,101,305.74433566699736,right,1,0.48294945899397135,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,6,0,3,0,3,1,1,1,0,102,102,102,308.08423866692465,right,1,0.3958838330581784,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,5,3,0,5,3,5,1,1,0,0,103,103,103,310.74693008395843,left,1,0.6803341249469668,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,5,0,6,5,6,3,0,1,1,0,104,104,104,313.70100020896643,right,1,0.4737330839270726,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,3,6,6,5,6,0,0,1,0,105,105,105,316.45840429200325,right,1,0.46104366600047797,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,3,3,6,5,5,0,0,0,0,106,106,106,319.1319195840042,left,1,1.003087165998295,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,5,3,5,0,6,1,1,0,0,107,107,107,322.2307586669922,left,1,0.9644282920053229,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,5,3,6,3,0,0,1,0,0,108,108,108,325.0456844170112,left,1,0.954668250051327,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,6,3,0,0,0,0,1,1,0,109,109,109,328.0267807500204,right,1,0.44745704205706716,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,2,6,5,0,0,0,0,0,0,0,110,110,110,330.63457420899067,left,1,0.5085012499475852,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,0,0,6,3,3,1,1,1,0,111,111,111,333.0661550000077,right,1,0.44814279198180884,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
3,5,0,6,5,0,3,0,0,0,0,112,112,112,335.82931262499187,left,1,0.47868399997241795,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,5,5,6,6,6,0,0,1,0,113,113,113,338.5406784169609,right,1,0.47875512507744133,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,6,6,3,5,3,1,0,1,0,114,114,114,340.9855104589369,right,1,0.786415999988094,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,5,6,0,0,0,1,1,1,0,115,115,115,344.06690162501764,right,1,0.5487847920740023,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
0,2,5,0,6,5,3,0,0,1,0,116,116,116,346.6999322499614,right,1,0.7070535839302465,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
4,2,6,0,3,3,3,1,0,0,0,117,117,117,349.44354300003033,left,1,0.7359839170239866,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,5,5,3,3,3,0,1,0,1,0,118,118,118,352.1105182089377,right,1,0.5833645419916138,None,,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
1,2,0,6,3,5,5,0,0,1,0,119,119,119,354.5462842499837,right,1,0.4589324160479009,space,2.3679543329635635,,,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
,,,,,,,,,,,,,,,,,,,,space,0.9367809999966994,sub_2735,2023-03-26_20h11.22.464,diamond_search,2022.2.5,59.86539292834502,
